City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talnakh,RU,69.4865,88.3972,-8.59,99,89,4.32,overcast clouds
1,Port Elizabeth,ZA,-33.918,25.5701,63.32,82,79,1.99,broken clouds
2,Cabo San Lucas,MX,22.8909,-109.9124,67.51,80,25,5.55,scattered clouds
3,Qaanaaq,GL,77.484,-69.3632,-0.36,64,95,6.87,overcast clouds
4,Nerchinskiy Zavod,RU,51.3088,119.61,-7.2,94,76,3.15,broken clouds
5,Bima,ID,-8.4667,118.7167,85.91,76,97,3.09,overcast clouds
6,Marawi,PH,7.9986,124.2928,71.78,89,100,3.91,moderate rain
7,Busselton,AU,-33.65,115.3333,83.01,34,75,0.98,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,79.47,67,19,11.21,few clouds
9,Ushuaia,AR,-54.8,-68.3,46.22,85,51,7.34,broken clouds
10,Coihaique,CL,-45.5752,-72.0662,59.61,88,0,3.44,clear sky
11,Graaff-Reinet,ZA,-32.2522,24.5308,53.92,91,100,13.13,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,12.66,light snow
13,Kununurra,AU,-15.7667,128.7333,93.18,49,100,8.05,overcast clouds
14,Margate,GB,51.3813,1.3862,39.87,79,100,1.99,overcast clouds
15,Agirish,RU,61.9247,63.0231,16.48,94,90,9.51,light snow
16,Avarua,CK,-21.2078,-159.775,82.45,78,40,9.22,scattered clouds
17,College,US,64.8569,-147.8028,17.55,85,75,5.75,light snow
18,Broome,US,42.2506,-75.833,33.8,74,100,3.44,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,55.11,71,40,8.05,scattered clouds
20,Vardo,NO,70.3705,31.1107,26.98,80,13,14.74,few clouds
21,Rieti,IT,42.4072,12.8592,38.66,87,14,5.5,few clouds
22,Yellowknife,CA,62.456,-114.3525,-13.45,75,10,11.99,clear sky
23,Mizdah,LY,31.4451,12.9801,39.31,50,0,3.36,clear sky
24,Kapaa,US,22.0752,-159.319,73.72,71,0,18.41,clear sky
25,Tervel,BG,43.75,27.4,30.24,97,100,11.05,light snow
26,Ostersund,SE,63.1792,14.6357,32.61,80,75,6.91,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,60.8,64,96,19.06,overcast clouds
28,Georgetown,MY,5.4112,100.3354,85.93,70,20,0.0,few clouds
29,Kinango,KE,-4.1372,39.3153,69.62,91,11,3.42,few clouds
30,Hithadhoo,MV,-0.6,73.0833,81.18,77,11,11.88,few clouds
31,New Norfolk,AU,-42.7826,147.0587,75.9,30,0,3.0,clear sky
32,Abaete,BR,-19.16,-45.4458,68.94,94,100,4.25,overcast clouds
33,Khatanga,RU,71.9667,102.5,-34.46,99,97,5.46,overcast clouds
34,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,79,75,8.05,broken clouds
35,Butaritari,KI,3.0707,172.7902,81.21,81,4,22.03,clear sky
36,Dikson,RU,73.5069,80.5464,-7.26,96,99,7.18,overcast clouds
37,Naze,JP,28.3667,129.4833,53.56,63,87,12.55,overcast clouds
38,Novikovo,RU,51.1537,37.8879,19.09,93,72,4.9,broken clouds
39,Faya,SA,18.3851,42.4509,43.32,83,1,0.87,clear sky
40,Puerto Ayora,EC,-0.7393,-90.3518,75.54,98,62,4.85,light rain
41,Pangnirtung,CA,66.1451,-65.7125,-35.93,83,16,7.0,few clouds
42,Codrington,AU,-38.2667,141.9667,66.67,60,84,11.99,broken clouds
43,Bredasdorp,ZA,-34.5322,20.0403,63.37,51,99,12.08,overcast clouds
44,Tucuman,AR,-26.8241,-65.2226,72.28,90,99,1.66,overcast clouds
45,Mazatlan,MX,23.2167,-106.4167,70.92,85,100,1.99,overcast clouds
46,Nam Dinh,VN,20.4167,106.1667,63.75,22,1,6.44,clear sky
47,Udachnyy,RU,66.4167,112.4,-38.07,100,73,2.75,broken clouds
48,Atuona,PF,-9.8,-139.0333,79.0,78,38,19.1,scattered clouds
49,Isangel,VU,-19.55,169.2667,84.51,70,86,2.19,overcast clouds
50,Hasaki,JP,35.7333,140.8333,45.0,33,41,4.05,scattered clouds
51,Srednekolymsk,RU,67.45,153.6833,-29.85,99,37,4.47,scattered clouds
52,Hobart,AU,-42.8794,147.3294,76.26,49,20,13.8,few clouds
53,Grand-Bourg,GP,15.8835,-61.3148,71.55,69,22,11.5,few clouds
54,Wajima,JP,37.4,136.9,36.1,72,100,10.45,overcast clouds
55,Albany,US,42.6001,-73.9662,30.22,81,95,1.88,overcast clouds
56,Ndele,CF,8.4109,20.6473,70.57,20,30,4.07,scattered clouds
57,Saldanha,ZA,-33.0117,17.9442,59.92,74,8,14.16,clear sky
58,Tezu,IN,27.9167,96.1667,78.06,22,1,3.33,clear sky
59,Cherskiy,RU,68.75,161.3,-25.06,99,86,3.18,overcast clouds
60,Sao Sebastiao,BR,-23.76,-45.4097,75.43,91,100,3.29,overcast clouds
61,Constitucion,CL,-35.3333,-72.4167,60.75,68,0,10.07,clear sky
62,Kamalapuram,IN,14.5833,78.65,74.88,63,55,5.64,broken clouds
63,Carnarvon,AU,-24.8667,113.6333,79.25,68,7,15.86,clear sky
64,Kruisfontein,ZA,-34.0033,24.7314,58.89,81,31,3.89,light rain
65,Kiruna,SE,67.8557,20.2251,7.57,93,62,6.42,broken clouds
66,Mataura,NZ,-46.1927,168.8643,80.67,28,1,6.69,clear sky
67,Terrace,CA,54.5163,-128.6035,20.41,82,4,4.12,clear sky
68,Ginda,IN,30.6945,78.4932,55.85,17,100,1.86,overcast clouds
69,Camacha,PT,33.0833,-16.3333,53.02,71,40,11.5,light intensity shower rain
70,Sangar,RU,63.9242,127.4739,-40.59,94,68,2.21,broken clouds
71,Safaga,EG,26.7292,33.9365,69.89,58,7,5.26,clear sky
72,Kalofer,BG,42.6167,24.9833,29.03,87,100,1.41,overcast clouds
73,Fenoarivo,MG,-18.933,47.4354,64.47,100,75,4.61,broken clouds
74,Jamestown,US,42.097,-79.2353,31.64,84,100,6.91,overcast clouds
75,Souillac,MU,-20.5167,57.5167,80.31,80,96,4.45,overcast clouds
76,Bethel,US,41.3712,-73.414,44.96,60,0,0.0,clear sky
77,Drymen,GB,56.0655,-4.452,43.92,90,100,8.59,overcast clouds
78,Vila,PT,42.0304,-8.1588,29.28,87,13,4.68,few clouds
79,East London,ZA,-33.0153,27.9116,65.71,74,100,14.9,light rain
80,Fortuna,US,40.5982,-124.1573,45.66,89,100,10.2,overcast clouds
81,Montreal,CA,45.5088,-73.5878,10.35,95,99,1.48,overcast clouds
82,Saint Anthony,US,45.0205,-93.218,4.66,67,40,10.36,scattered clouds
83,Saskylakh,RU,71.9167,114.0833,-34.11,100,99,2.8,overcast clouds
84,Alugan,PH,12.2188,125.4808,78.12,89,100,15.99,overcast clouds
85,Bud,US,39.447,-86.1758,48.31,73,99,14.45,light rain
86,Sananduva,BR,-27.9497,-51.8067,70.77,71,97,7.09,overcast clouds
87,Airai,TL,-8.9266,125.4092,70.79,76,78,2.08,broken clouds
88,The Valley,AI,18.217,-63.0578,76.1,69,4,18.97,clear sky
89,Maniitsoq,GL,65.4167,-52.9,10.0,87,100,17.31,light snow
90,Grand Gaube,MU,-20.0064,57.6608,80.38,85,64,6.15,broken clouds
91,Loreto,MX,22.2667,-101.9667,54.88,63,100,8.14,overcast clouds
92,Klaksvik,FO,62.2266,-6.589,49.12,90,100,32.5,light rain
93,Barrow,US,71.2906,-156.7887,-3.98,77,100,5.75,overcast clouds
94,Cape Town,ZA,-33.9258,18.4232,66.38,60,0,8.99,clear sky
95,Namibe,AO,-15.1961,12.1522,75.27,80,100,3.53,overcast clouds
96,Victoria,HK,22.2855,114.1577,61.25,31,4,11.99,clear sky
97,Goderich,CA,43.7501,-81.7165,26.91,95,100,5.08,snow
98,Provideniya,RU,64.3833,-173.3,26.87,95,100,4.03,overcast clouds
99,Kemijarvi,FI,66.7131,27.4306,18.73,92,92,8.14,overcast clouds
100,Thompson,CA,55.7435,-97.8558,-14.04,89,100,8.3,overcast clouds
101,Workington,GB,54.6425,-3.5441,42.01,94,100,5.01,overcast clouds
102,Salalah,OM,17.0151,54.0924,62.69,48,0,24.16,clear sky
103,Itapirapua,BR,-15.8233,-50.6133,69.75,94,67,2.82,broken clouds
104,Port Lincoln,AU,-34.7333,135.8667,66.42,71,99,13.85,overcast clouds
105,Dundee,GB,56.5,-2.9667,42.24,81,0,16.11,clear sky
106,Lasa,IT,46.6166,10.7002,22.37,75,15,3.89,few clouds
107,Muli,MV,2.9167,73.5667,80.47,74,44,11.01,scattered clouds
108,Mar Del Plata,AR,-38.0023,-57.5575,70.09,89,0,11.99,clear sky
109,Castro,BR,-24.7911,-50.0119,62.87,68,26,1.66,scattered clouds
110,Siuna,NI,13.7332,-84.7773,66.49,96,91,3.62,overcast clouds
111,Vaini,TO,-21.2,-175.2,82.56,89,75,1.14,light rain
112,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.16,68,40,31.07,light snow
113,Severo-Kurilsk,RU,50.6789,156.125,25.11,77,100,19.82,overcast clouds
114,La Serena,CL,-29.9078,-71.2542,60.31,100,20,3.44,few clouds
115,Kandiaro,PK,27.0601,68.2091,61.75,43,94,7.0,overcast clouds
116,Linguere,SN,15.3953,-15.1193,63.39,11,32,9.71,scattered clouds
117,Bubaque,GW,11.2833,-15.8333,76.39,67,53,6.06,broken clouds
118,Mount Gambier,AU,-37.8333,140.7667,70.66,51,65,8.88,broken clouds
119,Port Alfred,ZA,-33.5906,26.891,66.18,74,96,1.99,light rain
120,Ancud,CL,-41.8697,-73.8203,56.93,94,4,4.03,clear sky
121,West Wendover,US,40.7391,-114.0733,33.01,80,0,0.0,clear sky
122,Quelimane,MZ,-17.8786,36.8883,74.77,87,88,4.65,overcast clouds
123,Khandyga,RU,62.6667,135.6,-35.23,94,57,0.81,broken clouds
124,Praia Da Vitoria,PT,38.7333,-27.0667,53.76,89,61,16.02,broken clouds
125,Half Moon Bay,US,37.4636,-122.4286,51.87,80,100,14.97,haze
126,Esperance,AU,-33.8667,121.9,71.53,49,1,9.8,clear sky
127,Galle,LK,6.0367,80.217,77.5,76,88,2.35,overcast clouds
128,Bluff,NZ,-46.6,168.3333,65.25,52,0,2.55,clear sky
129,Hilo,US,19.7297,-155.09,73.13,84,0,3.0,light rain
130,Kaitangata,NZ,-46.2817,169.8464,66.51,60,1,6.17,clear sky
131,Dzaoudzi,YT,-12.7887,45.2699,80.49,89,0,4.61,clear sky
132,Pimenta Bueno,BR,-11.6725,-61.1936,71.8,99,100,3.38,overcast clouds
133,Trairi,BR,-3.2778,-39.2689,78.67,78,89,10.09,overcast clouds
134,Santa Maria,BR,-29.6842,-53.8069,74.61,74,91,5.93,overcast clouds
135,Ilulissat,GL,69.2167,-51.1,12.22,73,100,16.11,overcast clouds
136,Egvekinot,RU,66.3167,-179.1667,15.15,97,100,2.82,overcast clouds
137,Agadez,NE,19.75,10.25,59.79,11,9,10.56,clear sky
138,Marsh Harbour,BS,26.5412,-77.0636,72.37,69,83,18.63,broken clouds
139,Nuevo Progreso,MX,23.1667,-97.95,71.47,64,79,4.94,broken clouds
140,Lilongwe,MW,-13.9669,33.7873,65.08,98,100,3.58,light rain
141,Menongue,AO,-14.6585,17.691,61.83,96,100,4.79,overcast clouds
142,Chester-Le-Street,GB,54.8586,-1.5741,40.69,85,100,1.99,overcast clouds
143,Yambio,SS,4.5721,28.3955,73.15,29,25,2.64,scattered clouds
144,Vila Velha,BR,-20.3297,-40.2925,77.95,92,40,5.01,scattered clouds
145,Kloulklubed,PW,7.0419,134.2556,80.28,81,100,19.51,light rain
146,Pitimbu,BR,-7.4706,-34.8086,75.79,66,74,10.78,broken clouds
147,Nikolskoye,RU,59.7035,30.7861,29.91,87,100,10.85,overcast clouds
148,Badou,TG,7.5833,0.6,72.18,84,71,2.35,broken clouds
149,Westport,US,41.1415,-73.3579,46.85,68,0,4.0,clear sky
150,Te Anau,NZ,-45.4167,167.7167,81.95,24,0,5.26,clear sky
151,Tiarei,PF,-17.5333,-149.3333,86.02,74,6,12.46,clear sky
152,Antalaha,MG,-14.9003,50.2788,78.42,81,12,3.09,few clouds
153,Harlow,GB,51.7766,0.1116,40.71,92,100,4.61,mist
154,Pevek,RU,69.7008,170.3133,8.13,86,11,12.97,few clouds
155,Krasnoselkup,RU,65.7,82.4667,3.0,97,100,5.14,overcast clouds
156,Ribeira Grande,PT,38.5167,-28.7,56.77,81,58,11.01,broken clouds
157,Namatanai,PG,-3.6667,152.4333,85.77,65,63,5.26,broken clouds
158,Otjimbingwe,NA,-22.35,16.1333,74.88,52,97,2.17,overcast clouds
159,Leningradskiy,RU,69.3833,178.4167,0.84,90,20,4.5,few clouds
160,Chokurdakh,RU,70.6333,147.9167,-20.52,97,100,1.52,overcast clouds
161,Kavieng,PG,-2.5744,150.7967,84.56,70,31,6.64,light rain
162,Torbay,CA,47.6666,-52.7314,28.58,81,87,1.01,overcast clouds
163,Perevolotskiy,RU,51.8763,54.1938,-5.8,100,88,2.17,overcast clouds
164,Ponta Do Sol,PT,32.6667,-17.1,58.01,78,48,6.67,light rain
165,Lavrentiya,RU,65.5833,-171.0,20.16,97,98,3.36,overcast clouds
166,Saint-Philippe,RE,-21.3585,55.7679,82.11,84,99,2.82,overcast clouds
167,Tignere,CM,7.3667,12.65,67.5,26,99,1.45,overcast clouds
168,Atikokan,CA,48.7555,-91.6216,-21.55,100,53,3.98,broken clouds
169,Buzmeyin,TM,38.0507,58.2056,37.17,58,100,3.18,overcast clouds
170,Mahebourg,MU,-20.4081,57.7,80.26,79,90,3.22,overcast clouds
171,Kahului,US,20.8947,-156.47,69.84,92,75,10.36,moderate rain
172,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,80,60,10.18,light rain
173,Poum,NC,-20.2333,164.0167,78.48,81,100,6.53,overcast clouds
174,Faanui,PF,-16.4833,-151.75,81.79,71,9,11.52,clear sky
175,Yuksekova,TR,37.5736,44.2872,26.35,100,75,9.22,light snow
176,Zabid,YE,14.1951,43.3152,72.63,80,0,1.77,clear sky
177,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,5.75,broken clouds
178,Katsuura,JP,35.1333,140.3,44.1,45,63,5.66,broken clouds
179,Acapulco,MX,16.8634,-99.8901,76.82,83,20,0.0,smoke
180,Tuatapere,NZ,-46.1333,167.6833,69.71,40,2,7.83,clear sky
181,Tanout,NE,14.9709,8.8879,67.77,17,100,10.02,overcast clouds
182,Dwarka,IN,22.2394,68.9678,67.82,37,0,11.81,clear sky
183,Sao Filipe,CV,14.8961,-24.4956,72.66,70,49,9.86,scattered clouds
184,Cairns,AU,-16.9167,145.7667,87.75,70,75,13.8,broken clouds
185,Arraial Do Cabo,BR,-22.9661,-42.0278,76.5,92,100,19.37,overcast clouds
186,Lac-Megantic,CA,45.5834,-70.8823,22.55,92,89,7.54,overcast clouds
187,Lerwick,GB,60.1545,-1.1494,46.4,91,100,35.75,light rain
188,Nuuk,GL,64.1835,-51.7216,13.17,69,99,15.05,overcast clouds
189,Fonte Boa,BR,-2.4959,-66.2662,72.99,97,99,3.0,overcast clouds
190,Matara,LK,5.9485,80.5353,80.64,67,89,1.57,overcast clouds
191,Hamilton,US,39.1834,-84.5333,50.81,47,75,9.22,broken clouds
192,Bathurst,AU,-33.4166,149.5806,82.83,55,100,9.26,overcast clouds
193,Gizo,SB,-8.103,156.8419,84.09,71,60,4.99,light rain
194,Tete,MZ,-16.1564,33.5867,75.29,100,40,0.0,scattered clouds
195,Russell,US,32.3502,-85.1999,51.03,75,0,0.0,clear sky
196,Alofi,NU,-19.0595,-169.9187,84.09,74,99,6.91,light rain
197,Yerbogachen,RU,61.2767,108.0108,-10.25,97,96,2.89,overcast clouds
198,Labuhan,ID,-6.8844,112.2051,82.56,73,99,5.46,overcast clouds
199,Pangody,RU,65.85,74.4859,-11.25,100,91,8.48,overcast clouds
200,Nanortalik,GL,60.1432,-45.2371,15.84,78,58,16.04,broken clouds
201,Obihiro,JP,42.9172,143.2044,24.21,56,0,13.38,clear sky
202,Tiksi,RU,71.6872,128.8694,-27.29,94,100,6.87,overcast clouds
203,Envira,BR,-7.3,-70.2167,71.28,99,84,2.44,broken clouds
204,Denpasar,ID,-8.65,115.2167,87.46,74,20,5.75,few clouds
205,Cooma,AU,-36.2333,149.1333,63.84,90,100,1.07,light rain
206,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,82,3.6,broken clouds
207,Tura,IN,25.5198,90.2201,76.12,37,0,0.83,clear sky
208,Miguel Hidalgo,MX,19.4225,-99.2028,63.81,36,0,3.44,clear sky
209,Nhulunbuy,AU,-12.2333,136.7667,86.61,70,40,10.36,scattered clouds
210,Bereda,ES,43.2686,-7.5406,34.14,100,19,8.1,few clouds
211,Sitka,US,57.0531,-135.33,33.69,69,20,0.0,few clouds
212,Mackenzie,CA,55.2999,-123.1698,-13.32,97,6,2.06,clear sky
213,Sortland,NO,68.6949,15.4162,33.76,96,100,4.94,snow
214,Bengkulu,ID,-3.8004,102.2655,83.98,65,100,10.0,overcast clouds
215,Tsaratanana,MG,-16.7833,47.65,73.62,91,32,1.63,scattered clouds
216,Port Macquarie,AU,-31.4333,152.9167,83.89,67,86,16.17,overcast clouds
217,Lebu,CL,-37.6167,-73.65,60.19,93,2,17.78,clear sky
218,Harbour Breton,CA,47.4833,-55.7983,31.57,74,96,11.79,overcast clouds
219,Mumford,GH,5.2618,-0.759,78.67,89,99,8.46,overcast clouds
220,Rocha,UY,-34.4833,-54.3333,68.58,97,11,5.12,few clouds
221,Semnan,IR,35.5729,53.3971,32.77,52,53,2.39,broken clouds
222,Gryfice,PL,53.9165,15.2003,32.25,91,100,11.61,overcast clouds
223,Kodiak,US,57.79,-152.4072,33.31,100,100,0.0,mist
224,Japura,ID,-0.3167,102.35,76.84,91,100,4.9,overcast clouds
225,Uchiza,PE,-8.4592,-76.4633,69.78,94,95,2.21,overcast clouds
226,Cessnock,AU,-32.8333,151.35,90.43,55,69,9.57,moderate rain
227,Waverly,US,42.7392,-84.6208,27.14,92,100,6.91,mist
228,Xinxiang,CN,35.3089,113.8672,52.2,10,0,1.99,clear sky
229,Vanimo,PG,-2.6741,141.3028,84.7,69,87,7.36,overcast clouds
230,Morayfield,AU,-27.1167,152.95,92.35,51,60,9.24,broken clouds
231,Coos Bay,US,43.3665,-124.2179,44.58,96,100,0.0,overcast clouds
